Route.Stop,Max.Count,Latitude,Longitude,Color
307,1,44.26635984,-71.27054483,#FFFFB2
308,1,44.26795257,-71.26833511,#FFFFB2
309,1,44.2690216,-71.26557729,#FFFFB2
310,1,44.27051894,-71.263212,#FFFFB2
313,1,44.23584,-73.71284,#FFFFB2
318,1,44.21136341,-71.3093579,#FFFFB2
321,1,44.20582666,-71.31436625,#FFFFB2
322,1,44.20361325,-71.31487437,#FFFFB2
332,1,44.31161483,-71.28450841,#FFFFB2
335,1,45.88983399,-68.94200737,#FFFFB2
336,1,45.88751446,-68.942304,#FFFFB2
340,1,45.92296254,-68.90846517,#FFFFB2
343,1,45.91635576,-68.91102064,#FFFFB2
345,1,45.91386734,-68.90662241,#FFFFB2
348,1,45.42514706,-70.54795344,#FFFFB2
349,1,45.42342902,-70.54588311,#FFFFB2
351,1,45.41923933,-70.54482305,#FFFFB2
358,1,43.60625,-72.82336,#FFFFB2
359,1,43.60818,-72.82527,#FFFFB2
360,1,43.6104,-72.82598,#FFFFB2
367,1,43.5968943,-72.80758118,#FFFFB2
368,1,43.59700235,-72.81071224,#FFFFB2
371,1,44.98299982,-70.36416102,#FFFFB2
380,1,44.14603,-73.83309,#FFFFB2
387,1,44.70765414,-73.8616444,#FFFFB2
388,1,44.70557073,-73.86282834,#FFFFB2
390,1,44.32203,-71.251,#FFFFB2
391,1,44.32402,-71.25244,#FFFFB2
393,1,44.32704,-71.25704,#FFFFB2
402,1,45.06940979,-71.17254303,#FFFFB2
403,1,45.06743258,-71.17044755,#FFFFB2
404,1,45.06562544,-71.16842877,#FFFFB2
405,1,45.06370842,-71.16672004,#FFFFB2
410,1,44.54422,-72.80595,#FFFFB2
411,1,44.54336,-72.80885,#FFFFB2
422,1,44.52368,-72.81161,#FFFFB2
423,1,44.52235,-72.81416,#FFFFB2
426,1,45.41232736,-70.5958375,#FFFFB2
429,1,45.41868,-70.59436,#FFFFB2
436,1,44.26873284,-71.3466106,#FFFFB2
439,1,44.2693345,-71.33717844,#FFFFB2
443,1,44.03773036,-71.83456217,#FFFFB2
446,1,44.03124746,-71.83302099,#FFFFB2
448,1,44.41762285,-73.86809126,#FFFFB2
451,1,44.42027338,-73.85949645,#FFFFB2
455,1,44.03547345,-71.80736273,#FFFFB2
459,1,44.02762019,-71.81174713,#FFFFB2
